strain_name,strain_number,experiment_id,spectrum,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700
,,,MILQ(FILT),0.00287804,0.00288478,0.00287837,0.00269944,0.00258748,0.00247343,0.00232577,0.00230916,0.00211481,0.00194956,0.0018442,0.00172157,0.00179052,0.00168846,0.0016604,0.00156475,0.00147133,0.00147274,0.00137717,0.00138259,0.00138621,0.00127972,0.00123856,0.00126521,0.00117459,0.00118392,0.00112344,0.00108998,0.00107047,0.00102025,0.000981738,0.000977608,0.000929898,0.000879126,0.000863318,0.000735539,0.000766608,0.000748766,0.000711273,0.000724351,0.000674902,0.000658874,0.000658599,0.000639467,0.000614678,0.000605436,0.000602856,0.000562165,0.000555539,0.000557413,0.000525056,0.000525869,0.000449883,0.000466328,0.000424171
,,,DIL1A,0.00915672,0.00943969,0.00947274,0.00918922,0.00944014,0.00919747,0.00895122,0.00904678,0.00883415,0.00889235,0.00861891,0.00827785,0.00804819,0.00795715,0.0080198,0.00792821,0.00788142,0.00791268,0.00787291,0.00778269,0.00776904,0.00764119,0.00764786,0.00758784,0.0076646,0.00776497,0.00766115,0.00754026,0.00737507,0.00735493,0.00735028,0.00723573,0.00694902,0.00674914,0.0067311,0.00645721,0.00626674,0.00600889,0.00600981,0.00589788,0.00581077,0.00562632,0.0056216,0.0054992,0.00518936,0.0051351,0.00501401,0.00494735,0.00529421,0.00609787,0.0065411,0.00659948,0.00620216,0.006235,0.00611238
,,,DIL1A(BGRD),0.00355856,0.003709,0.00368966,0.00343136,0.00333248,0.00315422,0.00299592,0.00296082,0.00268672,0.00245484,0.00231204,0.00225443,0.00215131,0.00213154,0.00206305,0.00196706,0.00189293,0.0018715,0.00177038,0.00175826,0.00177569,0.00167572,0.00155177,0.00155675,0.00149488,0.00145947,0.00137976,0.00136469,0.0013046,0.00129459,0.00124322,0.00126707,0.00114982,0.0011033,0.00105475,0.000989657,0.000946028,0.000933323,0.000907098,0.000910544,0.000834674,0.000814336,0.000784939,0.000799901,0.000769874,0.000748398,0.000736667,0.000724286,0.000692813,0.000714248,0.000671323,0.000644163,0.000509056,0.000587293,0.000548336
,,,DIL1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIL1B(BGRD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. huxleyi,CCMP371,0602_EHUX,MILQ,0.00368483,0.00384183,0.00387302,0.00363133,0.00359999,0.00352839,0.00324787,0.0031732,0.00305783,0.00283217,0.00280405,0.00258671,0.00257716,0.00256961,0.0025525,0.00240289,0.00246086,0.00239245,0.0022753,0.00229725,0.0023062,0.00219317,0.00215787,0.00215643,0.00211366,0.00203046,0.00201986,0.00193834,0.00196044,0.00188685,0.00192797,0.00190031,0.00181335,0.00176963,0.00171324,0.00167717,0.00157971,0.00159412,0.00160072,0.00157057,0.00152497,0.00146647,0.00149454,0.00147318,0.00145992,0.00147077,0.00143724,0.00139062,0.00136929,0.00139493,0.00136559,0.00135693,0.00119792,0.00130334,0.0012396
,,,MILQ(FILT),0.00272481,0.00283662,0.00280002,0.00265945,0.00260023,0.00243859,0.00229045,0.00222792,0.00210776,0.00185014,0.00188239,0.00171242,0.00172283,0.00163571,0.00158224,0.0015188,0.00139843,0.00142989,0.00134707,0.00140322,0.00134366,0.00129177,0.00122815,0.00119143,0.00114443,0.00115524,0.00109708,0.00108894,0.00101822,0.00101023,0.000990379,0.000984786,0.000901848,0.000875058,0.000809213,0.000766946,0.00076294,0.000723789,0.000709385,0.000730355,0.000665599,0.000660656,0.000628196,0.000635907,0.00061637,0.00058704,0.000595577,0.000557142,0.000531886,0.000565057,0.000543047,0.000494601,0.000441751,0.000454322,0.000425912
,,,DIL1A,0.0191572,0.0194129,0.0192231,0.0184809,0.0186024,0.0177056,0.0170536,0.0167703,0.0162462,0.0157459,0.0151697,0.0147087,0.0143948,0.0141743,0.014194,0.013954,0.0137765,0.0137932,0.0137295,0.0136246,0.0137214,0.0135362,0.0135714,0.0134756,0.013586,0.013695,0.0136669,0.0134046,0.0134667,0.0134085,0.0135398,0.0137092,0.0133217,0.0131929,0.0134464,0.0131672,0.0131991,0.013118,0.0133748,0.0134216,0.0133077,0.0131947,0.0133294,0.0132273,0.0128847,0.0131321,0.013136,0.013005,0.0125361,0.0127025,0.0128143,0.0132432,0.0134482,0.0137073,0.0139009
,,,DIL1A(BGRD),0.00366013,0.00374775,0.00370723,0.00346944,0.00345665,0.00323689,0.00305375,0.00298937,0.00276996,0.00249481,0.0023317,0.00223535,0.00221227,0.00217968,0.00211715,0.00199594,0.00191387,0.00188796,0.00177812,0.00181744,0.00178739,0.00165325,0.0015815,0.00158767,0.0015248,0.0014522,0.00142117,0.00136922,0.00133616,0.00127875,0.00125743,0.00128947,0.00120398,0.00111884,0.00109801,0.000969706,0.000959824,0.000952721,0.000930089,0.000901062,0.000858153,0.000833017,0.000828861,0.000795152,0.000770213,0.000746222,0.000741369,0.000725093,0.000676523,0.00070607,0.000696309,0.00063498,0.000544402,0.000525864,0.000572186
,,,DIL1B,0.0158479,0.0160563,0.0159733,0.0153889,0.0153892,0.0147713,0.0141874,0.0137257,0.0132282,0.0130284,0.0125201,0.012068,0.0116931,0.0115132,0.0116013,0.011383,0.0111985,0.0110899,0.0110143,0.0109509,0.0109937,0.0109276,0.0107571,0.0106038,0.0107731,0.0108435,0.0107992,0.0105624,0.0105885,0.0105122,0.0106961,0.0107909,0.0104481,0.0103996,0.0104913,0.0102926,0.0104158,0.0102533,0.0105621,0.0105522,0.0104538,0.0103251,0.0104019,0.0104249,0.0101936,0.0103012,0.0103721,0.0102253,0.0100119,0.0100537,0.0101453,0.0103872,0.0105447,0.010858,0.0108861
